text,label
Going through an unexpected split and could use honest perspective from people who've been there.,peer_support
My friend just is going through a divorce and I don't know how to show up for them. Could use some advice from people who've been through it.,peer_support
Work has been back-to-back this week and I'm a little low-energy. What helps you recharge on the weekend?,self_help
I had a falling out with my college friend over money a few weeks ago and I keep second-guessing myself. Could use a sanity check.,peer_support
I keep replaying a cold exchange I had with my roommate about career stuff. Has anyone moved past something like that?,peer_support
Lost touch with most of my old friends since I left my hometown and feeling tense about reaching back out.,peer_support
Just need to vent: in-laws with my partner has been wearing me down for a couple of months.,peer_support
"I had a rough day, mostly just a missed gym session. Looking for small things I can do to lift my mood.",self_help
I feel left out at work after I got passed up for a promotion and don't really have anyone to talk to.,peer_support
I've felt exhausted in a way sleep doesn't fix for over three months and even going outside doesn't help anymore. I think I should start therapy.,professional
I'm not safe today and I don't know who to call. I need help this evening.,crisis
My friend just moved across the country and I don't know how to comfort them. Could use some a sanity check.,peer_support
Things between me and my sister have been weird for the past year and I'm not sure who to share this with.,peer_support
I've felt flat for over the whole semester and even going outside doesn't help anymore. I think I should get professional help.,professional
"I had a blah day, mostly just an annoying meeting. Looking for small things I can do to shake it off.",self_help
I'm not safe this evening and I don't know who to call. I need help today.,crisis
"I've been waiting too long to see a clinician. flat for most of this year, lost interest in things I used to love. Where do I even start?",professional
I'm in crisis and I don't know how to get through tonight this evening. Is there anyone I can talk to tonight?,crisis
I can't be alone with my thoughts this evening. They're harder to ignore. a way through tonight.,crisis
I keep having intrusive thoughts about messing things up at work that I can't switch off. I think I need to see my GP about this.,professional
I've been having flashbacks since a difficult breakup. It's affecting how I show up at home and I don't think I can manage it on my own.,professional
I'm trying to be more intentional day to day. What are simple ways to shake it off?,self_help
"I had a off day, mostly just an annoying meeting. Looking for small things I can do to shake it off.",self_help
"I've been waiting too long to start therapy. anxious all day for almost a year, cry without warning. Where do I even start?",professional
I think I'm slowly drifting from my mom and it makes me leaving me drained. Has anyone feel okay around them again from that?,peer_support
Just need to vent: money with my sister has been wearing me down for a couple of months.,peer_support
I think I'm slowly drifting from my roommate and it makes me making me second-guess myself. Has anyone rebuild that trust from that?,peer_support
"After the accident I haven't been the same. can't concentrate, and I avoid anything that reminds me of it. Should I look for a therapist?",professional
