text,label
"I overslept and missed a workout, now I feel meh. How do I restart the routine?",self_help
I'm really struggling to forgive my brother after the way they handled it. How did you rebuild that trust?,peer_support
Just need to vent: money with my college friend has been wearing me down for ages now.,peer_support
My GP wants me to start therapy after I described intrusive thoughts that's lasted longer than I want to admit. Anyone know who's actually qualified recently?,professional
My anxiety has been bad enough that I'm avoiding driving for the whole semester now. What kind of professional should I look into?,professional
My my college friend is going through lost their job and I want to be there for them but I'm running out of energy. How do you keep showing up?,peer_support
My anxiety has been bad enough that I'm avoiding the gym for six months now. What kind of professional would actually help here?,professional
Feeling strained after my team restructured. Anyone this drift?,peer_support
"I overslept and missed a workout, now I feel uninspired. How do I not spiral?",self_help
"I think I might be depressed. I've felt disconnected for almost a year, cry without warning, and can't shake it.",professional
I want to build a habit of a short walk so I feel less sluggish after long days.,self_help
"I think I might be depressed. I've felt exhausted in a way sleep doesn't fix for three months, lost interest in things I used to love, and can't shake it.",professional
Anyone else feel like they have to perform happiness around my old friends even when they're not okay?,peer_support
Just need to vent: money with my sister has been wearing me down for a couple of months.,peer_support
I want to build a habit of morning stretches so I feel less meh after long days.,self_help
I keep lying awake spiraling and it's been longer than I want to admit. Is this something a trauma specialist should handle?,professional
My friend just moved across the country and I don't know how to support them. Could use some a sanity check.,peer_support
I keep replaying a argument I had with my sister about boundaries. Has anyone moved past something like that?,peer_support
Feeling tense after my team restructured. Anyone the same kind of distance?,peer_support
Honest question: when does racing thoughts at night for almost a year cross the line from a rough patch into needing a CBT therapist?,professional
Work has been overpacked this week and I'm a little tired. What helps you decompress in the evening?,self_help
I want to build a habit of morning stretches so I feel less drained after long days.,self_help
Going through a long-distance ending and could use advice from people who've been through it from people who've been there.,peer_support
My my sister is going through lost a parent and I want to be there for them but I'm running out of energy. How do you keep showing up?,peer_support
I've felt flat for over longer than I want to admit and even weekends doesn't help anymore. I think I should start therapy.,professional
Panic attacks have been happening almost daily and I'm scared to leaving the house some days. What's the right way to talk to a therapist?,professional
I can't be alone with my thoughts this evening. They're getting louder. a way through tonight.,crisis
Going through an unexpected split and could use a few kind words from people who've been there.,peer_support
I can't be alone with my thoughts tonight. They're constant. a way through tonight.,crisis
Honest question: when does panic attacks for most of this year cross the line from a rough patch into needing a trauma specialist?,professional
I don't think I can keep myself safe today. what to do?,crisis
I've been arguing a lot with my college friend about house chores and it's really making me second-guess myself. Anyone else dealing with this?,peer_support
I can't be alone with my thoughts tonight. They're getting louder. help.,crisis
Work has been intense this week and I'm a little tired. What helps you sleep better?,self_help
I feel like the world would be better without me and I don't trust myself today.,crisis
I keep replaying a argument I had with my brother about house chores. Has anyone moved past something like that?,peer_support
My eating has gotten really compulsive over the past the whole semester and I know it's not healthy. I want to find a clinical psychologist who works with this.,professional
I can't be alone with my thoughts today. They're getting louder. a hotline number.,crisis
My compulsive checking is now interfering with every part of my routine and good sleep barely touches it. I think I need a CBT therapist.,professional
"I had a rough day, mostly just a missed gym session. Looking for small things I can do to feel a bit lighter.",self_help
I've been arguing a lot with my brother about house chores and it's really leaving me drained. Anyone else dealing with this?,peer_support
I've been arguing a lot with my best friend about in-laws and it's really making me second-guess myself. Anyone else dealing with this?,peer_support
I'm at a breaking point. today I just want it to stop and I'm scared of what I'll do.,crisis
Work has been back-to-back this week and I'm a little low-energy. What helps you get my energy back?,self_help
I can't be alone with my thoughts this evening. They're stronger than before. a hotline number.,crisis
Going through an unexpected split and could use advice from people who've been through it from people who've been there.,peer_support
I'm spiraling and I don't think I can stay safe on my own right now. what to do?,crisis
I feel left out at work after I was excluded from a key meeting and don't really have anyone to share this with.,peer_support
I keep having nightmares I can't shake and it's been almost a year. Is this something a trauma specialist should handle?,professional
I keep replaying a cold exchange I had with my roommate about career stuff. Has anyone moved past something like that?,peer_support
"I had a mediocre day, mostly just a stressful inbox. Looking for small things I can do to reset.",self_help
"I've been waiting too long to get professional help. disconnected for longer than I want to admit, snap at everyone. Where do I even start?",professional
I'm really struggling to forgive my closest coworker after what happened. How did you feel okay around them again?,peer_support
I've been feeling a bit drained lately because of a long Monday. Any tips for lifting my mood?,self_help
I've been pretty lonely since I changed careers. Has anyone been through this exact situation?,peer_support
Honest question: when does panic attacks for almost a year cross the line from a rough patch into needing a psychiatrist?,professional
I'm trying to be more mindful day to day. What are simple ways to shake it off?,self_help
I've been feeling a bit off lately because of a busy week. Any tips for getting back into a routine?,self_help
Feeling off after I got passed up for a promotion. Anyone something similar?,peer_support
